playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
account.1fb9d6b6d9ac4e58a514e4114e97e137,2,0,0,325.528473,byplayer,1,0,18,0,0,1,2,0,0,54.21341,0,Survive____,0,0,0,0,0,0,520.367,0,612.4594,3,26,0,0
account.e20706f8e4bf4895a778d900094e26af,0,0,0,97.7814941,byplayer,0,2,34,0,0,1,1,0,0,85.557,0,cptcouch,0,0,0,0,0,0,677.285,0,911.28595,3,26,0,0
account.69aef06d90c54e90b722d22cf682c1f8,0,0,0,0,byplayer,0,0,95,0,0,0,0,0,0,0,0,HEXEDBYHALITOSIS,0,0,0,0,0,0,122.623,0,24.06863,3,48,0,0
account.22c18ab104534ecaa5b5cf4b4c5b13d6,0,0,0,40.85,byplayer,0,0,94,0,0,0,0,0,0,0,0,BobbyLovesBizkit,0,0,0,0,0,0,125.374,0,59.61973,3,48,0,0
account.75979a8609d64721a38b33d677aa094c,3,0,1,542.289368,byplayer,0,5,9,0,0,2,3,0,0,22.7305756,0,FFXWakka,0,1,0,0,0,0,581.057,0,453.90036,4,30,0,0
account.07fee5142ecb4ab4b7429fc0435eb789,0,0,1,45.2399979,byplayer,0,7,68,0,0,0,0,0,0,0,0,HauntedAshes,0,0,0,0,0,0,514.87,0,435.52066,2,30,0,0
account.443d74cc2a444ef991fc7b1ccc219cce,0,0,0,0,byplayer,0,0,73,0,0,0,0,0,0,0,0,DeathPortal9,0,0,0,0,0,0,298.063,0,266.905029,2,34,0,0
account.2925f9e8813c42f98043b3226825da63,0,0,0,0,byplayer,0,3,72,0,0,0,0,0,0,0,0,FOXTAIL1995,0,0,0,0,0,0,431.762,0,421.539063,3,34,0,0
account.5ac87213e33c4d8dbd16567c64019034,0,0,0,34.3,byplayer,0,3,66,0,0,0,0,0,0,0,0,fumbles0x90,0,1,926.893433,0,0,0,625.444,0,1233.69739,3,29,0,0
account.e49a0faf5ec14dfda0510fa2a6789e08,2,0,0,65.7,byplayer,0,1,67,0,0,0,0,0,0,0,0,chaser1242,0,0,548.4307,0,0,0,616,0,1008.38385,4,29,0,0
account.7be30ead4572410e9edc0681f90cf4af,0,0,2,104,byplayer,0,10,29,0,0,1,1,0,0,47.65395,0,ChefCRAFT_TV,0,1,5130.42041,0,8.746794,0,1167.868,0,1853.8064,6,12,0,0
account.94836697ec564fa1ad7c7090ceaab8c4,0,0,3,35.23893,byplayer,0,2,48,0,0,0,0,0,0,0,0,Hammerstrike,0,0,5120.32275,0,7.1220336,0,1167.872,0,1415.5719,2,12,0,0
account.6b11535a7bf44f7b8a3256eea4557b4f,0,0,1,0,byplayer,0,1,58,0,0,0,0,0,0,0,0,ChaldoGG,0,0,0,0,4.126022,0,716.047,0,2423.07324,4,23,0,0
account.b0b70a4cfcdd4e55bcd17b0455ea70ba,2,1,1,222.907,byplayer,0,2,32,0,0,1,1,0,0,33.2746277,0,ShermanTheVerman,0,1,0,0,11.7103958,0,981.377,0,3435.48315,4,18,0,0
account.91d1788893d34119b7bee3e9f7d8d265,2,3,7,642.36615,byplayer,2,5,3,0,0,1,5,0,0,77.53542,0,Cyanide483,0,0,5180.31934,0,3.3980732,0,1627.056,0,2482.02319,5,6,0,0
account.3374bd3befd44b8b8bdd073fe92c7a2c,6,0,3,913.0987,byplayer,2,2,1,0,0,2,9,0,0,159.9824,0,Twitch_CyoxFPS,0,1,5493.07373,0,49.83999,0,1627.06,0,3451.607,3,6,0,0
account.ec61ea3fbcd64881ab09f789c4581baa,1,0,0,99.56122,byplayer,0,0,51,0,0,0,0,0,0,0,0,Phantomx7D,0,0,0,0,0,0,1033.259,0,2260.97119,7,16,0,0
account.99ec2646c92a4d30a210619bc3b6b182,0,0,0,44.40055,byplayer,0,0,52,0,0,0,0,0,0,0,0,MakavelliThaDon,0,0,0,0,0,0,1033.255,0,2187.65,5,16,0,0
account.9395afc2ff4c43069c387e0ff055e591,0,0,0,0,byplayer,0,0,82,0,0,0,0,0,0,0,0,KuyaBdon,0,0,639.488953,0,0,0,267.554,0,575.114563,2,40,0,0
account.8c2514523b904b5bbcb93d6e236f0427,0,0,0,64.2599945,byplayer,0,0,81,0,0,0,0,0,0,0,0,Didnt_Do_1t,0,0,860.674744,0,0,0,267.56,0,392.5261,3,40,0,0
